ID,Type,SKU,Name,Published,Is featured?,Visibility,Short description,Description,Regular price,Sale price,Manage stock?,Stock quantity,Stock status,Weight (kg),Dimensions,Categories,Tags,Images
13,simple,BKRY-001,Designer Wall Clock - Round,1,0,visible,Modern silent wall clock,"Silent movement wall clock, 12 inch diameter, glass finish. Battery operated.",899,699,1,60,instock,0.4,"35x35x5",Home Decor,Clock,Wall,https://example.com/images/wall-clock.jpg
14,simple,TOYS-001,Remote Control Car - LED,1,1,visible,RC car with LED lights,"High speed RC car with LED lights, rechargeable battery. Age 8+.",1999,1499,1,45,instock,0.8,"30x15x10",Toys,RC Car,Electronics,https://example.com/images/rc-car.jpg
15,simple,TOYS-002,Building Blocks Set - 100 pcs,1,0,visible,Educational building blocks,"100 pieces colorful building blocks, ABS plastic, safe for kids. Age 3+.",899,699,1,70,instock,1,"30x20x8",Toys,Blocks,Educational,https://example.com/images/blocks.jpg
16,simple,SPRT-001,Yoga Mat - Non Slip,1,0,visible,Premium yoga mat,"6mm thick yoga mat, non-slip surface, carrying strap included. Multiple colors.",899,699,1,100,instock,1.5,"180x60x0.6",Sports,Yoga Mat,Fitness,https://example.com/images/yoga-mat.jpg
17,simple,SPRT-002,Cricket Bat - Willow,1,0,visible,Grade A willow cricket bat,"Hand-crafted English willow bat, curved blade. Size: 33 inches.",2499,1999,1,25,instock,1.2,"85x10x4",Sports,Cricket,Bat,https://example.com/images/cricket-bat.jpg
18,simple,BKAG-001,Backpack - 25 Ltr,1,1,visible,Waterproof laptop backpack,"25 liter backpack with laptop compartment (up to 15 inch), USB charging port, anti-theft.",1599,1299,1,90,instock,0.8,"45x30x15",Fashion,Backpack,Laptop,https://example.com/images/backpack.jpg
19,simple,BKAG-002,Shoulder Bag - Leather,1,0,visible,Genuine leather shoulder bag,"Premium leather shoulder bag, multiple compartments, adjustable strap. Brown.",2299,1899,1,40,instock,0.6,"40x30x10",Fashion,Shoulder Bag,Leather,https://example.com/images/shoulder-bag.jpg
20,simple,FOOT-001,Running Shoes - Men,1,0,visible,Lightweight running shoes,"Breathable mesh upper, cushioned sole, anti-slip. Size 7-12.",2499,1999,1,60,instock,0.7,"35x20x12",Fashion,Shoes,Running,https://example.com/images/running-shoes.jpg
21,simple,FOOT-002,Heels for Women - Kitten,1,0,visible,Elegant kitten heel sandals,"Comfortable kitten heels, synthetic leather. Size 35-40. Beige color.",1299,999,1,50,instock,0.4,"30x15x10",Fashion,Heels,Women,https://example.com/images/heels.jpg
22,simple,WATC-001,Analog Watch - Men,1,1,visible,Classic analog watch for men,"Stainless steel case, genuine leather strap, water resistant. 1 year warranty.",2999,2499,1,35,instock,0.15,"5x5x1.5",Fashion,Watch,Men,https://example.com/images/watch-men.jpg
23,simple,WATC-002,Analog Watch - Women,1,0,visible,Elegant women's watch,"Rose gold dial, silver bracelet, sparkly stones. Water resistant.",2499,1999,instock,40,1,0.12,"4.5x4.5x1.2",Fashion,Watch,Women,https://example.com/images/watch-women.jpg
24,simple,BEAU-001,Face Cream - Aloe Vera,1,0,visible,Natural face cream,"Aloe vera face cream, 100ml, for all skin types. Paraben free.",599,449,1,150,instock,0.15,"8x5x5",Beauty,Face Cream,Aloe Vera,https://example.com/images/face-cream.jpg
25,simple,BEAU-002,Perfume - 100ml,1,0,visible,Long lasting fragrance,"Premium designer perfume for men. 100ml bottle. Fresh woody scent.",1899,1499,1,45,instock,0.3,"10x5x5",Beauty,Perfume,Men,https://example.com/images/perfume.jpg
26,simple,KIT-001,Office Stationery Set,1,0,visible,Complete office stationery kit,"Contains: 2 pens, 1 notebook, sticky notes, paper clips, stapler, scissors.",499,399,1,200,instock,0.5,"25x20x5",Office,Stationery,Kit,https://example.com/images/stationery.jpg
27,simple,KIT-002,Tools Set - 20 pcs,1,0,visible,Household tools set,"20 pieces tool kit: hammer, screwdrivers, pliers, wrench set, tape. With case.",1299,999,1,60,instock,2,"35x25x8",Hardware,Tools,Kit,https://example.com/images/tools.jpg
28,simple,GIFT-001,Flowers Bouquet - Mixed,1,1,visible,Beautiful mixed flower bouquet,"Fresh seasonal flowers arranged beautifully. Perfect for gifting.",999,799,1,30,instock,0.5,"40x30x10",Gifts,Flowers,Bouquet,https://example.com/images/flowers.jpg
29,simple,GIFT-002,Chocolate Gift Box,1,0,visible,Premium chocolate gift box,"12 premium chocolates in elegant box. Assorted flavors.",799,599,1,80,instock,0.6,"25x20x5",Gifts,Chocolate,Gift,https://example.com/images/chocolates.jpg
30,simple,FOOD-001,Paste - 1kg,1,0,visible,Organic peanut butter,"Smooth texture peanut butter, no added sugar. 1kg jar. Vegan.",699,549,1,70,instock,1.2,"15x10x15",Groceries,Peanut Butter,Organic,https://example.com/images/peanut-butter.jpg
31,simple,FOOD-002,Organic Honey - 500ml,1,0,visible,Pure organic honey,"100% pure organic honey from Kashmir. 500ml glass bottle.",599,449,1,90,instock,0.8,"8x8x20",Groceries,Honey,Organic,https://example.com/images/honey.jpg
32,simple,FOOD-003,Coffee Powder - Premium,1,0,visible,Arabica coffee powder,"Premium Arabica coffee beans, medium roast. 250g pack.",799,649,1,100,instock,0.3,"15x10x8",Groceries,Coffee,Premium,https://example.com/images/coffee.jpg
33,simple,SUP-001,Protein Powder - Chocolate,1,0,visible,Whey protein supplement,"24g protein per serving, chocolate flavor. 1kg pack. For muscle building.",2499,1999,1,40,instock,1.2,"20x20x15",Health,Protein,Supplement,https://example.com/images/protein.jpg
34,simple,SUP-002,Vitamin C Tablets - 60 pcs,1,0,visible,Immunity booster tablets,"Vitamin C 1000mg, 60 tablets. Orange flavor. For immunity.",399,299,1,150,instock,0.1,"10x5x5",Health,Vitamin C,Immunity,https://example.com/images/vitamin-c.jpg
35,simple,GARD-001,Plant Seeds Mix - Indoor,1,0,visible,Indoor plants seed kit,"5 varieties of indoor plant seeds with soil and pots. Easy to grow.",499,399,1,100,instock,0.3,"20x15x10",Garden,Seeds,Indoor,https://example.com/images/seeds.jpg
36,simple,GARD-002,Watering Can - Plastic,1,0,visible,2 liter watering can,"Lightweight plastic watering can for plants. 2 liter capacity. Green.",299,199,instock,80,1,0.2,"30x15x15",Garden,Watering Can,Plastic,https://example.com/images/watering-can.jpg
37,simple,AUTO-001,Car Phone Mount,1,0,visible,Universal car phone holder,"Adjustable dashboard phone mount, 360 rotation. Fits all phones.",399,299,1,150,instock,0.15,"10x10x8",Automotive,Phone Mount,Car,https://example.com/images/phone-mount.jpg
38,simple,AUTO-002,Car Vacuum Cleaner,1,0,visible,Portable car vacuum,"Compact car vacuum cleaner, 12V, 100W. Includes attachments.",1299,999,1,50,instock,0.8,"30x15x15",Automotive,Vacuum,Car,https://example.com/images/car-vacuum.jpg
39,simple,PET-001,Pet Food - Dog 5kg,1,0,visible,Premium dog food,"Complete nutrition dog food, 5kg pack. For all breeds.",1899,1499,1,40,instock,5,"40x30x15",Pet Supplies,Dog Food,Pet,https://example.com/images/dog-food.jpg
40,simple,PET-002,Cat Litter - 5kg,1,0,visible,Clumping cat litter,"Premium clumping cat litter, 5kg. Controls odor effectively.",899,699,1,60,instock,5,"30x20x20",Pet Supplies,Cat Litter,Pet,https://example.com/images/cat-litter.jpg
